全国・都道府県 コード,全国・都道府県,en_pref,総数
0,全国,ALL,126706
1000,北海道,Hokkaido,5320
2000,青森県,Aomori-ken,1278
3000,岩手県,Iwate-ken,1255
4000,宮城県,Miyagi-ken,2323
5000,秋田県,Akita-ken,996
6000,山形県,Yamagata-ken,1102
7000,福島県,Fukushima-ken,1882
8000,茨城県,Ibaraki-ken,2892
9000,栃木県,Tochigi-ken,1957
10000,群馬県,Gumma-ken,1960
11000,埼玉県,Saitama-ken,7310
12000,千葉県,Chiba-ken,6246
13000,東京都,Tokyo-to,13724
14000,神奈川県,Kanagawa-ken,9159
15000,新潟県,Niigata-ken,2267
16000,富山県,Toyama-ken,1056
17000,石川県,Ishikawa-ken,1147
18000,福井県,Fukui-ken,779
19000,山梨県,Yamanashi-ken,823
20000,長野県,Nagano-ken,2076
21000,岐阜県,Gifu-ken,2008
22000,静岡県,Shizuoka-ken,3675
23000,愛知県,Aichi-ken,7525
24000,三重県,Mie-ken,1800
25000,滋賀県,Shiga-ken,1413
26000,京都府,Kyoto-fu,2599
27000,大阪府,Osaka-fu,8823
28000,兵庫県,Hyogo-ken,5503
29000,奈良県,Nara-ken,1348
30000,和歌山県,Wakayama-ken,945
31000,鳥取県,Tottori-ken,565
32000,島根県,Shimane-ken,685
33000,岡山県,Okayama-ken,1907
34000,広島県,Hiroshima-ken,2829
35000,山口県,Yamaguchi-ken,1383
36000,徳島県,Tokushima-ken,743
37000,香川県,Kagawa-ken,967
38000,愛媛県,Ehime-ken,1364
39000,高知県,Kochi-ken,714
40000,福岡県,Fukuoka-ken,5107
41000,佐賀県,Saga-ken,824
42000,長崎県,Nagasaki-ken,1354
43000,熊本県,Kumamoto-ken,1765
44000,大分県,Oita-ken,1152
45000,宮崎県,Miyazaki-ken,1089
46000,鹿児島県,Kagoshima-ken,1626
47000,沖縄県,Okinawa-ken,1443
